    PID CMD                         %CPU
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
  66037 /opt/google/chrome/chrome -  9.6
   1756 /usr/bin/gnome-shell         4.7
    PID CMD                         %CPU
  71067 /usr/libexec/tracker-extrac 25.5
  37485 /opt/google/chrome/chrome - 11.5
  37758 /opt/google/chrome/chrome -  9.6
3807 (chrome) 64258 56192 120450
105963 (chrome) 66854 17210 84064
866 (mysqld) 10163 10857 21020
1756 (gnome-shell) 1013054 84481 1097535
3255 (chrome) 599091 176645 775736
1615 (Xorg) 195556 148706 344262
3220 (chrome) 260845 74185 335030
1524 (pulseaudio) 119784 188097 307881
1756 (gnome-shell) 1013083 84484 1097567
3255 (chrome) 599091 176645 775736
1615 (Xorg) 195565 148714 344279
3220 (chrome) 260847 74186 335033
1756 (gnome-shell) 1013086 84485 1097571
3255 (chrome) 599091 176645 775736
1615 (Xorg) 195566 148714 344280
3220 (chrome) 260847 74186 335033
1524 (pulseaudio) 119800 188120 307920
1756 (gnome-shell) 1015134 84730 1099864
3255 (chrome) 600753 177202 777955
1615 (Xorg) 196589 149273 345862
3220 (chrome) 260988 74231 335219
1524 (pulseaudio) 120172 188588 308760
1756 (gnome-shell) 1015186 84740 1099926
3255 (chrome) 600969 177276 778245
1615 (Xorg) 196638 149315 345953
3220 (chrome) 260991 74233 335224
1524 (pulseaudio) 120201 188629 308830
1756 (gnome-shell) 1015354 84758 1100112
3255 (chrome) 601176 177336 778512
1615 (Xorg) 196732 149374 346106
3220 (chrome) 260995 74234 335229
1524 (pulseaudio) 120232 188662 308894
1526 (tracker-miner-f) 174704 4370 179074
3259 (chrome) 92011 40563 132574
3807 (chrome) 64455 56350 120805
105963 (chrome) 71244 18284 89528
866 (mysqld) 10204 10894 21098
1756 (gnome-shell) 1015357 84758 1100115
3255 (chrome) 601184 177338 778522
1615 (Xorg) 196733 149376 346109
3220 (chrome) 260996 74235 335231
1524 (pulseaudio) 120233 188663 308896
1526 (tracker-miner-f) 174801 4372 179173
3259 (chrome) 92011 40563 132574
3807 (chrome) 64455 56350 120805
105963 (chrome) 71253 18287 89540
866 (mysqld) 10204 10894 21098
239 (irq/51-DELL089C) 0 20419 20419
1756 (gnome-shell) 1015360 84758 1100118
3255 (chrome) 601196 177341 778537
1615 (Xorg) 196735 149377 346112
3220 (chrome) 260996 74235 335231
1524 (pulseaudio) 120234 188665 308899
1756 (gnome-shell) 1015391 84762 1100153
3255 (chrome) 601445 177446 778891
1615 (Xorg) 196767 149426 346193
1756 (gnome-shell) 1015395 84762 1100157
3255 (chrome) 601457 177449 778906
1615 (Xorg) 196771 149427 346198
3220 (chrome) 261004 74238 335242
1524 (pulseaudio) 120278 188710 308988
1526 (tracker-miner-f) 175311 4384 179695
3259 (chrome) 92027 40571 132598
3807 (chrome) 64472 56363 120835
105963 (chrome) 71728 18437 90165
866 (mysqld) 10206 10897 21103
239 (irq/51-DELL089C) 0 20420 20420
643 (NetworkManager) 5770 4689 10459
1756 (gnome-shell) 1018356 85128 1103484
3255 (chrome) 605544 178818 784362
1615 (Xorg) 198352 150529 348881
3220 (chrome) 261078 74281 335359
1524 (pulseaudio) 120868 189466 310334
1756 (gnome-shell) 1018371 85130 1103501
3255 (chrome) 605787 178907 784694
1615 (Xorg) 198376 150578 348954
3220 (chrome) 261081 74283 335364
1756 (gnome-shell) 1018399 85136 1103535
3255 (chrome) 605877 178943 784820
1615 (Xorg) 198398 150597 348995
3220 (chrome) 261083 74283 335366
1756 (gnome-shell) 1018401 85136 1103537
3255 (chrome) 605889 178945 784834
1756 (gnome-shell) 1018404 85136 1103540
3255 (chrome) 605896 178947 784843
1615 (Xorg) 198400 150601 349001
3220 (chrome) 261084 74283 335367
1524 (pulseaudio) 120918 189532 310450
1526 (tracker-miner-f) 178945 4490 183435
3259 (chrome) 92115 40601 132716
3807 (chrome) 64720 56577 121297
105963 (chrome) 78271 20578 98849
866 (mysqld) 10248 10955 21203
239 (irq/51-DELL089C) 0 20551 20551
643 (NetworkManager) 5776 4694 10470
1756 (gnome-shell) 1858273 150271 2008544
3255 (chrome) 1072743 316027 1388770
1524 (pulseaudio) 250619 403549 654168
132375 (zoom) 447119 143448 590567
1615 (Xorg) 312460 256470 568930
1756 (gnome-shell) 1858346 150287 2008633
3255 (chrome) 1073140 316127 1389267
1524 (pulseaudio) 250687 403673 654360
132375 (zoom) 447150 143477 590627
1615 (Xorg) 312596 256526 569122
3220 (chrome) 412489 117275 529764
153394 (chrome) 276218 34757 310975
3259 (chrome) 160555 64594 225149
1526 (tracker-miner-f) 206049 5126 211175
3807 (chrome) 95569 82467 178036
866 (mysqld) 18886 19396 38282
152226 (chrome) 29654 3150 32804
1756 (gnome-shell) 1858387 150295 2008682
3255 (chrome) 1073391 316201 1389592
1524 (pulseaudio) 250743 403748 654491
132375 (zoom) 447175 143493 590668
1615 (Xorg) 312662 256565 569227
3220 (chrome) 412581 117292 529873
153394 (chrome) 277835 34926 312761
3259 (chrome) 160601 64627 225228
1526 (tracker-miner-f) 206185 5129 211314
3807 (chrome) 95596 82492 178088
1790 (gnome-shell) 559895 39261 599156
2437 (chrome) 433701 118489 552190
7538 (zoom) 156435 75225 231660
1558 (pulseaudio) 60025 89817 149842
1648 (Xorg) 72112 66635 138747
1790 (gnome-shell) 559901 39262 599163
2437 (chrome) 433701 118489 552190
7538 (zoom) 156447 75234 231681
1558 (pulseaudio) 60025 89817 149842
1648 (Xorg) 72115 66635 138750
2383 (chrome) 87189 27313 114502
28986 (chrome) 96795 5969 102764
2439 (chrome) 39502 15709 55211
3880 (chrome) 45352 4841 50193
25806 (chrome) 38156 5098 43254
4529 (chrome) 22667 17264 39931
1790 (gnome-shell) 559917 39268 599185
2437 (chrome) 433701 118489 552190
7538 (zoom) 156454 75246 231700
1558 (pulseaudio) 60025 89817 149842
1648 (Xorg) 72125 66638 138763
1790 (gnome-shell) 569977 40406 610383
2437 (chrome) 439155 120189 559344
7538 (zoom) 160242 78450 238692
1558 (pulseaudio) 60175 89980 150155
1648 (Xorg) 75247 68697 143944
1790 (gnome-shell) 569981 40407 610388
1790 (gnome-shell) 569982 40407 610389
2437 (chrome) 439155 120189 559344
1790 (gnome-shell) 570043 40417 610460
2437 (chrome) 439156 120189 559345
7538 (zoom) 160266 78469 238735
1558 (pulseaudio) 60177 89981 150158
1648 (Xorg) 75278 68719 143997
2383 (chrome) 92126 28579 120705
28986 (chrome) 97379 6093 103472
2439 (chrome) 40775 15998 56773
3880 (chrome) 46041 4950 50991
25806 (chrome) 38307 5107 43414
